 
__________________________________________
CONFIGURATION FILE
__________________________________________
ow_config.txt
 
19-Nov-2021 14:13:03 Working on 4900136
Elapsed time is 7.347220 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 87
Elapsed time is 7.586297 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 88
Elapsed time is 7.511816 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 89
Elapsed time is 7.564256 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 90
Elapsed time is 7.837025 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 91
Elapsed time is 7.815333 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 92
Elapsed time is 7.702805 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 93
Elapsed time is 7.677491 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 94
Elapsed time is 7.623069 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 95
Elapsed time is 7.308173 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 96
Elapsed time is 7.274858 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 97
Elapsed time is 7.486619 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 98
Elapsed time is 7.649683 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 99
Elapsed time is 7.865736 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 100
Elapsed time is 7.526735 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 101
Elapsed time is 7.641133 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 102
Elapsed time is 7.048649 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 103
Elapsed time is 7.495104 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 104
Elapsed time is 7.443771 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 105
Elapsed time is 7.593090 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 106
Elapsed time is 7.570917 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 107
Elapsed time is 7.680595 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 108
Elapsed time is 7.601720 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 109
Elapsed time is 7.510859 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 110
Elapsed time is 7.776995 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 111
Elapsed time is 7.673486 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 112
Elapsed time is 7.289256 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 113
Elapsed time is 7.933519 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 114
Elapsed time is 7.754947 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 115
Elapsed time is 7.543069 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 116
%%%%%%%%%%%%%%%% saving data %%%%%%%%%%%%%%%%
Elapsed time is 8.249135 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 117
Elapsed time is 7.625162 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 118
Elapsed time is 7.594311 seconds.
UPDATE_SALINITY_MAPPING: Working on profile 119
%%%%%%%%%%%%%%%% saving data %%%%%%%%%%%%%%%%
Elapsed time is 17.389186 seconds.
 
___________________________________________
SET CALSERIES PARAMETERS
calseries: 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
breaks = 
max_breaks = 4
use_theta_lt = 
use_theta_gt = 
use_pres_gt = 600
use_pres_lt = 
___________________________________________
 
Best model found with linear fit
